marital_status,application_mode,application_order,course,time,previous_qualification,nationality,mother's_qualification,father's_qualification,mother's_occupation,father's_occupation,displaced,educational_special_needs,debtor,tuition_fees_up_to_date,gender,scholarship_holder,age_at_enrollment,international,unemployment_rate,inflation_rate,gdp,output
single,1st phase - general contingent,3,5,daytime,Secondary education,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,,"Legislative Power and Executive Bodies, Directors, Executive Managers","Representatives of the Legislative Power and Executive Bodies, Directors, and Executive Managers",1,0,0,1,0,0,18,0,7.6,2.6,0.32,Dropout
single,,3,5,daytime,Secondary education,Portuguese,,Secondary Education - 12th Year of Schooling or Equivalent,"Farmers and Skilled Workers in Agriculture, Fisheries, Forestry","Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",0,1,0,1,0,0,18,0,15.5,2.8,-4.06,Dropout
single,1st phase - general contingent,5,14,daytime,Secondary education,Portuguese,,,Armed Forces Professions,Armed Forces Professions,1,0,0,0,0,0,18,0,8.9,1.4,3.51,Dropout
single,1st phase - general contingent,1,2,daytime,Secondary education,Portuguese,Higher Education - Degree,Higher Education - Master's,Intermediate Level Technicians and Professions,"Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",1,0,0,1,0,0,18,0,11.1,0.6,2.02,Graduate
single,,2,9,daytime,Secondary education,Portuguese,,10th Year of Schooling,Installation and Machine Operators and Assembly Workers,Installation and Machine Operators and Assembly Workers,1,0,0,1,0,1,19,0,12.4,0.5,1.79,Graduate
single,,2,10,daytime,Secondary education,Portuguese,Secondary Education - 12th Year of Schooling or Equivalent,Higher Education - Degree,Administrative staff,"Personal Services, Security and Safety Workers, and Sellers",1,0,0,1,0,0,18,0,11.1,0.6,2.02,Dropout
single,,1,6,daytime,Secondary education,Portuguese,Higher Education - Degree,10th Year of Schooling,"Farmers and Skilled Workers in Agriculture, Fisheries, Forestry","Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",1,0,0,1,0,0,18,0,12.7,3.7,-1.7,Graduate
single,,6,12,daytime,Secondary education,Portuguese,Technical-professional course,2nd cycle of the general high school course,Armed Forces Professions,"Skilled Workers in Industry, Construction, and Craftsmen",1,0,0,1,0,1,18,0,12.7,3.7,-1.7,Graduate
single,2nd phase - general contingent,1,10,daytime,,Portuguese,Technical-professional course,2nd cycle of the general high school course,Armed Forces Professions,,1,0,0,1,0,0,21,0,8.9,1.4,3.51,Graduate
single,1st phase - general contingent,1,12,daytime,Secondary education,Portuguese,,2nd cycle of the general high school course,"Farmers and Skilled Workers in Agriculture, Fisheries, Forestry","Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",0,0,0,1,0,1,18,0,12.7,3.7,-1.7,Graduate
single,,3,14,daytime,Secondary education,Portuguese,Secondary Education - 12th Year of Schooling or Equivalent,,Administrative staff,Administrative staff,1,0,0,1,0,0,18,0,11.1,0.6,2.02,Graduate
single,1st phase - general contingent,2,12,daytime,Secondary education,Portuguese,,10th Year of Schooling,Armed Forces Professions,,1,0,0,1,0,0,18,0,15.5,2.8,-4.06,Graduate
single,,1,12,daytime,Secondary education,Portuguese,,Secondary Education - 12th Year of Schooling or Equivalent,"Personal Services, Security and Safety Workers and Sellers",Administrative staff,1,0,0,1,0,0,20,0,16.2,0.3,-0.92,Graduate
single,,1,9,daytime,Secondary education,Portuguese,Secondary Education - 12th Year of Schooling or Equivalent,,"Personal Services, Security and Safety Workers and Sellers","Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",0,0,0,1,0,1,18,0,12.7,3.7,-1.7,Graduate
single,1st phase - general contingent,2,15,daytime,Secondary education,Portuguese,,Secondary Education - 12th Year of Schooling or Equivalent,"Personal Services, Security and Safety Workers and Sellers","Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",1,0,0,1,0,0,18,0,11.1,0.6,2.02,Dropout
single,,2,9,daytime,Secondary education,Portuguese,Technical-professional course,,,,1,0,0,1,0,1,20,0,8.9,1.4,3.51,Graduate
single,,1,11,daytime,Secondary education,Portuguese,,10th Year of Schooling,Armed Forces Professions,Unskilled Workers,1,0,0,1,0,0,20,0,12.4,0.5,1.79,Graduate
single,,1,9,daytime,Secondary education,Portuguese,Technical-professional course,Secondary Education - 12th Year of Schooling or Equivalent,Armed Forces Professions,Armed Forces Professions,1,0,1,1,0,1,19,0,11.1,0.6,2.02,Dropout
single,1st phase - special contingent (Madeira Island),1,5,daytime,Secondary education,Portuguese,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Equivalent,Administrative staff,"Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",0,0,0,1,0,1,19,0,11.1,0.6,2.02,Graduate
single,,4,14,daytime,Secondary education,Portuguese,,2nd cycle of the general high school course,Armed Forces Professions,,1,1,1,0,0,1,18,0,12.7,3.7,-1.7,Dropout
single,,3,15,daytime,Secondary education,Portuguese,Secondary Education - 12th Year of Schooling or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,"Personal Services, Security and Safety Workers and Sellers",Armed Forces Professions,1,0,1,1,0,1,19,0,15.5,2.8,-4.06,Graduate
single,1st phase - general contingent,2,12,daytime,Secondary education,Portuguese,Secondary Education - 12th Year of Schooling or Equivalent,,"Personal Services, Security and Safety Workers and Sellers",Installation and Machine Operators and Assembly Workers,1,0,0,1,0,1,20,0,9.4,-0.8,-3.12,Graduate
single,International student (bachelor),1,9,daytime,10th year of schooling,Portuguese,,Secondary Education - 12th Year of Schooling or Equivalent,"Personal Services, Security and Safety Workers and Sellers",Armed Forces Professions,1,0,0,1,0,0,21,0,11.1,0.6,2.02,Graduate
single,,2,12,daytime,Secondary education,Portuguese,7th year of schooling,Higher Education - Degree,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,0,0,0,1,0,0,21,0,10.8,1.4,1.74,Graduate
single,,1,5,daytime,Secondary education,Portuguese,,,Armed Forces Professions,Armed Forces Professions,0,0,0,1,0,0,20,0,11.1,0.6,2.02,Graduate
single,,2,16,daytime,Secondary education,Portuguese,,,,,1,0,0,1,0,0,19,0,8.9,1.4,3.51,Graduate
single,,3,6,daytime,Secondary education,Portuguese,Secondary Education - 12th Year of Schooling or Equivalent,10th Year of Schooling,"Personal Services, Security and Safety Workers and Sellers",,0,0,0,0,0,0,21,0,7.6,2.6,0.32,Dropout
single,1st phase - general contingent,1,6,daytime,Secondary education,Portuguese,General commerce course,10th Year of Schooling,"Personal Services, Security and Safety Workers and Sellers",,0,0,0,1,0,0,18,0,7.6,2.6,0.32,Graduate
single,1st phase - general contingent,5,11,daytime,Secondary education,Portuguese,,2nd cycle of the general high school course,Armed Forces Professions,Armed Forces Professions,0,0,0,1,0,1,19,0,8.9,1.4,3.51,Graduate
single,,2,12,daytime,Secondary education,Portuguese,,10th Year of Schooling,Armed Forces Professions,"Personal Services, Security and Safety Workers, and Sellers",1,0,0,1,0,0,18,0,13.9,-0.3,0.79,Graduate
single,1st phase - general contingent,4,12,daytime,Secondary education,Portuguese,Secondary Education - 12th Year of Schooling or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,Armed Forces Professions,Armed Forces Professions,1,0,0,1,0,1,19,0,12.7,3.7,-1.7,Graduate
single,1st phase - general contingent,2,9,daytime,Secondary education,Portuguese,Secondary Education - 12th Year of Schooling or Equivalent,10th Year of Schooling,"Personal Services, Security and Safety Workers and Sellers",Administrative staff,1,0,0,1,0,1,18,0,13.9,-0.3,0.79,Graduate
single,1st phase - general contingent,1,16,daytime,Secondary education,Portuguese,,2nd cycle of the general high school course,"Farmers and Skilled Workers in Agriculture, Fisheries, Forestry",Installation and Machine Operators and Assembly Workers,0,0,0,1,0,1,18,0,15.5,2.8,-4.06,Enrolled
single,1st phase - general contingent,1,15,daytime,Secondary education,Portuguese,Technical-professional course,2nd cycle of the general high school course,Unskilled Workers,Unskilled Workers,0,0,0,1,0,0,18,0,13.9,-0.3,0.79,Graduate
single,,1,6,daytime,Secondary education,Portuguese,Secondary Education - 12th Year of Schooling or Equivalent,2nd cycle of the general high school course,Armed Forces Professions,Armed Forces Professions,1,0,0,1,0,1,18,0,10.8,1.4,1.74,Graduate
single,,1,5,daytime,Secondary education,Portuguese,,10th Year of Schooling,Installation and Machine Operators and Assembly Workers,Installation and Machine Operators and Assembly Workers,1,0,0,1,0,0,18,0,12.4,0.5,1.79,Dropout
single,1st phase - general contingent,3,5,daytime,Secondary education,Portuguese,Secondary Education - 12th Year of Schooling or Equivalent,,Armed Forces Professions,Installation and Machine Operators and Assembly Workers,0,0,0,1,0,1,18,0,11.1,0.6,2.02,Enrolled
single,,1,10,daytime,Secondary education,Portuguese,Secondary Education - 12th Year of Schooling or Equivalent,,Armed Forces Professions,Installation and Machine Operators and Assembly Workers,0,0,0,1,0,0,18,0,11.1,0.6,2.02,Dropout
single,1st phase - general contingent,1,10,daytime,Secondary education,Portuguese,Secondary Education - 12th Year of Schooling or Equivalent,Higher Education - Degree,"Personal Services, Security and Safety Workers and Sellers",Intermediate Level Technicians and Professions,0,0,0,1,0,0,18,0,10.8,1.4,1.74,Graduate
single,,1,6,daytime,Secondary education,Portuguese,Secondary Education - 12th Year of Schooling or Equivalent,,"Personal Services, Security and Safety Workers and Sellers",Armed Forces Professions,1,0,0,1,0,1,20,0,13.9,-0.3,0.79,Graduate
single,1st phase - general contingent,1,16,daytime,Secondary education,Portuguese,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Equivalent,Intermediate Level Technicians and Professions,"Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",0,0,0,1,0,0,18,0,15.5,2.8,-4.06,Enrolled
single,,4,5,daytime,Secondary education,Portuguese,Secondary Education - 12th Year of Schooling or Equivalent,10th Year of Schooling,"Personal Services, Security and Safety Workers and Sellers","Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",1,0,0,1,0,0,18,0,16.2,0.3,-0.92,Graduate
single,,6,12,daytime,Secondary education,Portuguese,Technical-professional course,2nd cycle of the general high school course,Armed Forces Professions,Installation and Machine Operators and Assembly Workers,0,0,0,1,0,1,20,0,10.8,1.4,1.74,Graduate
divorced,,1,14,daytime,Secondary education,Portuguese,Technical-professional course,2nd cycle of the general high school course,Armed Forces Professions,"Skilled Workers in Industry, Construction, and Craftsmen",0,0,0,1,0,0,40,0,9.4,-0.8,-3.12,Graduate
single,1st phase - general contingent,6,12,daytime,Secondary education,Portuguese,,,Armed Forces Professions,Armed Forces Professions,1,0,0,1,0,1,18,0,15.5,2.8,-4.06,Graduate
single,1st phase - general contingent,5,11,daytime,Secondary education,Portuguese,,10th Year of Schooling,"Personal Services, Security and Safety Workers and Sellers",Installation and Machine Operators and Assembly Workers,1,0,0,1,0,0,19,0,13.9,-0.3,0.79,Graduate
single,,1,17,evening,10th year of schooling - not completed,Portuguese,Secondary Education - 12th Year of Schooling or Equivalent,10th Year of Schooling,"Personal Services, Security and Safety Workers and Sellers",Armed Forces Professions,0,0,0,1,0,0,24,0,12.4,0.5,1.79,Dropout
single,1st phase - general contingent,3,15,daytime,Secondary education,Portuguese,Higher Education - Degree,,Intermediate Level Technicians and Professions,,1,0,0,1,0,0,19,0,10.8,1.4,1.74,Dropout
single,1st phase - general contingent,6,12,daytime,Secondary education,Portuguese,Higher Education - Bachelor's Degree,Secondary Education - 12th Year of Schooling or Equivalent,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers, and Sellers",1,0,0,1,0,0,19,0,10.8,1.4,1.74,Graduate
single,1st phase - general contingent,1,12,daytime,Secondary education,Portuguese,Secondary Education - 12th Year of Schooling or Equivalent,10th Year of Schooling,Armed Forces Professions,"Skilled Workers in Industry, Construction, and Craftsmen",1,0,0,1,0,1,20,0,11.1,0.6,2.02,Graduate
single,1st phase - general contingent,1,12,daytime,Secondary education,Portuguese,,,"Farmers and Skilled Workers in Agriculture, Fisheries, Forestry","Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",0,0,0,1,0,0,18,0,12.4,0.5,1.79,Graduate
single,1st phase - general contingent,1,2,daytime,Secondary education,Portuguese,Secondary Education - 12th Year of Schooling or Equivalent,,"Personal Services, Security and Safety Workers and Sellers",Unskilled Workers,1,0,0,1,0,1,18,0,13.9,-0.3,0.79,Graduate
single,,2,12,daytime,Secondary education,Portuguese,,2nd cycle of the general high school course,"Personal Services, Security and Safety Workers and Sellers",Installation and Machine Operators and Assembly Workers,1,0,0,1,0,0,19,0,13.9,-0.3,0.79,Graduate
single,,3,12,daytime,Secondary education,Portuguese,Higher Education - Degree,Higher Education - Degree,"Personal Services, Security and Safety Workers and Sellers","Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",1,0,0,1,0,0,18,0,13.9,-0.3,0.79,Dropout
single,International student (bachelor),1,6,daytime,10th year of schooling,Portuguese,Higher Education - Degree,Higher Education - Degree,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,1,0,0,1,0,0,19,0,12.4,0.5,1.79,Graduate
single,1st phase - general contingent,2,12,daytime,Secondary education,Portuguese,Technical-professional course,2nd cycle of the general high school course,Armed Forces Professions,Installation and Machine Operators and Assembly Workers,1,0,0,1,0,1,19,0,13.9,-0.3,0.79,Graduate
single,1st phase - general contingent,1,12,daytime,Secondary education,Portuguese,,10th Year of Schooling,"Farmers and Skilled Workers in Agriculture, Fisheries, Forestry",Installation and Machine Operators and Assembly Workers,0,0,0,1,0,1,19,0,12.4,0.5,1.79,Graduate
single,1st phase - general contingent,2,12,daytime,Secondary education,Portuguese,Secondary Education - 12th Year of Schooling or Equivalent,2nd cycle of the general high school course,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers, and Sellers",1,0,0,1,0,1,19,0,11.1,0.6,2.02,Dropout
single,1st phase - general contingent,1,12,daytime,Secondary education,Portuguese,Secondary Education - 12th Year of Schooling or Equivalent,,Specialists in Intellectual and Scientific Activities,Installation and Machine Operators and Assembly Workers,0,0,0,1,0,0,19,0,7.6,2.6,0.32,Graduate
single,,1,14,daytime,12th year of schooling - not completed,Portuguese,Secondary Education - 12th Year of Schooling or Equivalent,10th Year of Schooling,Specialists in Intellectual and Scientific Activities,"Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",1,0,1,0,0,0,25,0,9.4,-0.8,-3.12,Dropout
single,1st phase - general contingent,1,12,daytime,Secondary education,Portuguese,,10th Year of Schooling,"Personal Services, Security and Safety Workers and Sellers",,0,0,0,1,0,0,20,0,12.7,3.7,-1.7,Graduate
single,2nd phase - general contingent,1,10,daytime,,Portuguese,Secondary Education - 12th Year of Schooling or Equivalent,10th Year of Schooling,"Farmers and Skilled Workers in Agriculture, Fisheries, Forestry","Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",0,0,1,0,0,0,23,0,8.9,1.4,3.51,Dropout
single,1st phase - general contingent,1,5,daytime,Secondary education,Portuguese,,10th Year of Schooling,Installation and Machine Operators and Assembly Workers,Installation and Machine Operators and Assembly Workers,0,0,0,1,0,0,20,0,15.5,2.8,-4.06,Dropout
single,,1,3,evening,Secondary education,Portuguese,Technical-professional course,12th Year of Schooling - Not Completed,Armed Forces Professions,,0,0,0,1,0,0,27,0,11.1,0.6,2.02,Graduate
single,1st phase - general contingent,1,12,daytime,Secondary education,Portuguese,,Secondary Education - 12th Year of Schooling or Equivalent,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers, and Sellers",0,0,0,1,0,0,18,0,9.4,-0.8,-3.12,Graduate
single,1st phase - general contingent,1,16,daytime,Secondary education,Portuguese,,Secondary Education - 12th Year of Schooling or Equivalent,"Farmers and Skilled Workers in Agriculture, Fisheries, Forestry",,1,0,1,1,0,0,18,0,9.4,-0.8,-3.12,Enrolled
single,,1,3,evening,10th year of schooling - not completed,Portuguese,,Secondary Education - 12th Year of Schooling or Equivalent,"Farmers and Skilled Workers in Agriculture, Fisheries, Forestry",,1,0,1,0,0,0,23,0,13.9,-0.3,0.79,Dropout
single,1st phase - general contingent,6,12,daytime,Secondary education,Portuguese,,2nd cycle of the general high school course,"Farmers and Skilled Workers in Agriculture, Fisheries, Forestry","Skilled Workers in Industry, Construction, and Craftsmen",1,0,0,1,0,1,19,0,7.6,2.6,0.32,Graduate
single,1st phase - general contingent,1,9,daytime,Secondary education,Portuguese,Technical-professional course,,Administrative staff,Administrative staff,0,0,0,1,0,0,18,0,15.5,2.8,-4.06,Graduate
single,,1,12,daytime,Secondary education,Portuguese,Secondary Education - 12th Year of Schooling or Equivalent,10th Year of Schooling,Armed Forces Professions,Unskilled Workers,1,0,0,1,0,0,20,0,13.9,-0.3,0.79,Graduate
single,1st phase - general contingent,2,14,daytime,Secondary education,Portuguese,,10th Year of Schooling,Armed Forces Professions,Armed Forces Professions,1,0,0,1,0,0,18,0,12.4,0.5,1.79,Graduate
single,1st phase - general contingent,1,12,daytime,Secondary education,Portuguese,Secondary Education - 12th Year of Schooling or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers, and Sellers",1,0,0,1,0,1,19,0,9.4,-0.8,-3.12,Graduate
single,International student (bachelor),1,10,daytime,10th year of schooling,Portuguese,,10th Year of Schooling,Unskilled Workers,Unskilled Workers,1,0,0,1,0,1,19,0,12.4,0.5,1.79,Graduate
single,1st phase - general contingent,1,16,daytime,Secondary education,Portuguese,,2nd cycle of the general high school course,"Farmers and Skilled Workers in Agriculture, Fisheries, Forestry","Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",0,0,0,1,0,0,19,0,9.4,-0.8,-3.12,Enrolled
single,1st phase - general contingent,1,6,daytime,Secondary education,Portuguese,Higher Education - Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,,0,0,0,1,0,0,18,0,7.6,2.6,0.32,Graduate
single,1st phase - general contingent,1,10,daytime,Secondary education,Portuguese,Technical-professional course,2nd cycle of the general high school course,Armed Forces Professions,"Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",0,0,0,1,0,0,18,0,9.4,-0.8,-3.12,Graduate
single,1st phase - general contingent,2,15,daytime,Secondary education,Portuguese,,10th Year of Schooling,"Personal Services, Security and Safety Workers and Sellers",Installation and Machine Operators and Assembly Workers,1,0,0,1,0,0,18,0,11.1,0.6,2.02,Graduate
single,Ordinance No. 612/93,1,16,daytime,Secondary education,Portuguese,,,Armed Forces Professions,Armed Forces Professions,0,0,0,0,0,0,28,0,15.5,2.8,-4.06,Dropout
single,,1,11,daytime,Secondary education,Portuguese,Technical-professional course,2nd cycle of the general high school course,"Farmers and Skilled Workers in Agriculture, Fisheries, Forestry",Armed Forces Professions,1,0,0,1,0,0,19,0,7.6,2.6,0.32,Dropout
single,,1,2,daytime,Secondary education,Portuguese,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Equivalent,Intermediate Level Technicians and Professions,Administrative staff,1,0,1,1,0,0,20,0,13.9,-0.3,0.79,Dropout
single,1st phase - general contingent,2,12,daytime,Secondary education,Portuguese,Secondary Education - 12th Year of Schooling or Equivalent,2nd cycle of the general high school course,"Personal Services, Security and Safety Workers and Sellers",Armed Forces Professions,1,0,0,1,0,1,19,0,12.4,0.5,1.79,Graduate
single,1st phase - general contingent,1,5,daytime,Secondary education,Portuguese,Secondary Education - 12th Year of Schooling or Equivalent,10th Year of Schooling,"Personal Services, Security and Safety Workers and Sellers","Representatives of the Legislative Power and Executive Bodies, Directors, and Executive Managers",0,1,0,1,0,1,20,0,11.1,0.6,2.02,Graduate
single,1st phase - general contingent,2,11,daytime,Secondary education,Portuguese,,10th Year of Schooling,Armed Forces Professions,Armed Forces Professions,1,0,0,1,0,1,19,0,12.4,0.5,1.79,Graduate
single,1st phase - special contingent (Madeira Island),1,5,daytime,Secondary education,Portuguese,Higher Education - Doctorate,Secondary Education - 12th Year of Schooling or Equivalent,Intermediate Level Technicians and Professions,,1,0,0,1,0,0,21,0,8.9,1.4,3.51,Enrolled
single,1st phase - general contingent,1,16,daytime,Secondary education,Portuguese,Secondary Education - 12th Year of Schooling or Equivalent,10th Year of Schooling,Armed Forces Professions,"Personal Services, Security and Safety Workers, and Sellers",1,0,0,1,0,1,19,0,11.1,0.6,2.02,Graduate
single,1st phase - general contingent,2,5,daytime,Secondary education,Portuguese,,Secondary Education - 12th Year of Schooling or Equivalent,Armed Forces Professions,Administrative staff,1,0,0,1,0,1,18,0,13.9,-0.3,0.79,Graduate
single,,2,8,daytime,Secondary education,Portuguese,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Equivalent,Intermediate Level Technicians and Professions,Specialists in Intellectual and Scientific Activities,0,0,0,1,0,0,19,0,15.5,2.8,-4.06,Dropout
single,,1,14,daytime,Secondary education,Portuguese,11th Year of Schooling - Not Completed,,Armed Forces Professions,"Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",0,0,0,1,0,1,19,0,8.9,1.4,3.51,Graduate
single,1st phase - general contingent,1,15,daytime,Secondary education,Portuguese,,10th Year of Schooling,,,0,0,1,1,0,0,20,0,16.2,0.3,-0.92,Graduate
single,,2,16,daytime,Secondary education,Portuguese,Secondary Education - 12th Year of Schooling or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,"Personal Services, Security and Safety Workers and Sellers","Representatives of the Legislative Power and Executive Bodies, Directors, and Executive Managers",1,0,0,1,0,0,18,0,13.9,-0.3,0.79,Enrolled
single,,1,2,daytime,Secondary education,Portuguese,,10th Year of Schooling,"Farmers and Skilled Workers in Agriculture, Fisheries, Forestry",Installation and Machine Operators and Assembly Workers,0,0,0,1,0,0,18,0,15.5,2.8,-4.06,Enrolled
single,,1,8,daytime,Secondary education,Portuguese,Secondary Education - 12th Year of Schooling or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,"Personal Services, Security and Safety Workers and Sellers","Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",0,0,0,1,0,0,18,0,7.6,2.6,0.32,Graduate
single,,3,15,daytime,Secondary education,Portuguese,,10th Year of Schooling,"Farmers and Skilled Workers in Agriculture, Fisheries, Forestry",Unskilled Workers,0,0,0,1,0,0,18,0,8.9,1.4,3.51,Dropout
single,,3,10,daytime,Secondary education,Portuguese,Technical-professional course,,"Legislative Power and Executive Bodies, Directors, Executive Managers",Installation and Machine Operators and Assembly Workers,1,0,0,1,0,0,18,0,7.6,2.6,0.32,Graduate
single,,4,15,daytime,Secondary education,Portuguese,,10th Year of Schooling,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers, and Sellers",1,0,0,1,0,0,20,0,15.5,2.8,-4.06,Dropout
single,,3,12,daytime,Secondary education,Portuguese,,Secondary Education - 12th Year of Schooling or Equivalent,Armed Forces Professions,Armed Forces Professions,1,0,0,1,0,1,19,0,12.4,0.5,1.79,Graduate
single,1st phase - general contingent,1,16,daytime,Secondary education,Portuguese,Technical-professional course,2nd cycle of the general high school course,Armed Forces Professions,Armed Forces Professions,1,0,1,0,0,0,21,0,15.5,2.8,-4.06,Dropout
single,,1,14,daytime,Higher education - degree,Portuguese,11th Year of Schooling - Not Completed,Higher Education - Degree,"Farmers and Skilled Workers in Agriculture, Fisheries, Forestry",Unskilled Workers,1,0,1,0,0,0,20,0,10.8,1.4,1.74,Dropout
single,1st phase - general contingent,1,11,daytime,Secondary education,Portuguese,Technical-professional course,,Armed Forces Professions,Armed Forces Professions,1,0,0,1,0,0,18,0,9.4,-0.8,-3.12,Graduate
single,1st phase - general contingent,1,15,daytime,Secondary education,Portuguese,Secondary Education - 12th Year of Schooling or Equivalent,Higher Education - Master's,"Farmers and Skilled Workers in Agriculture, Fisheries, Forestry",Administrative staff,0,0,0,1,0,1,20,0,10.8,1.4,1.74,Graduate
single,1st phase - general contingent,2,12,daytime,Secondary education,Portuguese,,2nd cycle of the general high school course,Specialists in Intellectual and Scientific Activities,Armed Forces Professions,1,0,0,1,0,1,19,0,9.4,-0.8,-3.12,Graduate
single,1st phase - general contingent,1,6,daytime,Frequency of higher education,Portuguese,,10th Year of Schooling,Armed Forces Professions,Armed Forces Professions,1,0,0,1,0,0,22,0,9.4,-0.8,-3.12,Dropout
single,,1,8,daytime,Secondary education,Portuguese,,10th Year of Schooling,Armed Forces Professions,Armed Forces Professions,1,0,0,0,0,0,22,0,9.4,-0.8,-3.12,Dropout
single,1st phase - general contingent,2,16,daytime,Secondary education,Portuguese,,,Installation and Machine Operators and Assembly Workers,"Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",1,0,0,1,0,0,18,0,10.8,1.4,1.74,Enrolled
single,,1,9,daytime,Secondary education,Portuguese,Higher Education - Degree,10th Year of Schooling,Armed Forces Professions,Armed Forces Professions,0,0,0,1,0,0,21,0,7.6,2.6,0.32,Enrolled
single,1st phase - general contingent,1,10,daytime,Secondary education,Portuguese,,10th Year of Schooling,"Legislative Power and Executive Bodies, Directors, Executive Managers","Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",1,0,0,1,0,0,19,0,7.6,2.6,0.32,Graduate
single,1st phase - general contingent,4,2,daytime,Secondary education,Portuguese,Technical-professional course,,Armed Forces Professions,Armed Forces Professions,1,0,0,1,0,0,19,0,10.8,1.4,1.74,Dropout
single,1st phase - general contingent,2,12,daytime,Secondary education,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,,"Legislative Power and Executive Bodies, Directors, Executive Managers","Representatives of the Legislative Power and Executive Bodies, Directors, and Executive Managers",1,0,0,1,0,1,20,0,9.4,-0.8,-3.12,Dropout
single,1st phase - general contingent,3,12,daytime,Secondary education,Portuguese,,10th Year of Schooling,Unskilled Workers,Unskilled Workers,1,0,1,1,0,1,18,0,15.5,2.8,-4.06,Graduate
single,1st phase - special contingent (Madeira Island),1,17,evening,,Portuguese,,2nd cycle of the general high school course,"Farmers and Skilled Workers in Agriculture, Fisheries, Forestry",Armed Forces Professions,0,0,0,0,0,0,22,0,8.9,1.4,3.51,Dropout
single,,4,6,daytime,Secondary education,Portuguese,,7th year of schooling,,Installation and Machine Operators and Assembly Workers,1,0,0,1,0,0,20,0,7.6,2.6,0.32,Graduate
single,International student (bachelor),1,4,daytime,10th year of schooling,Portuguese,,,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction, and Craftsmen",0,0,0,1,0,0,19,0,12.4,0.5,1.79,Graduate
single,1st phase - general contingent,5,12,daytime,Secondary education,Portuguese,Secondary Education - 12th Year of Schooling or Equivalent,10th Year of Schooling,"Skilled Workers in Industry, Construction and Craftsmen",Installation and Machine Operators and Assembly Workers,1,0,0,1,0,1,19,0,12.4,0.5,1.79,Graduate
single,1st phase - general contingent,2,12,daytime,Secondary education,Portuguese,,10th Year of Schooling,Armed Forces Professions,Installation and Machine Operators and Assembly Workers,1,0,0,1,0,1,20,0,11.1,0.6,2.02,Enrolled
single,,1,17,evening,Secondary education,Portuguese,,,Administrative staff,Administrative staff,0,0,0,1,0,0,25,0,15.5,2.8,-4.06,Enrolled
single,1st phase - general contingent,1,12,daytime,Secondary education,Portuguese,,10th Year of Schooling,Armed Forces Professions,Installation and Machine Operators and Assembly Workers,0,0,0,1,0,1,19,0,15.5,2.8,-4.06,Graduate
single,,1,12,daytime,Secondary education,Portuguese,,2nd cycle of the general high school course,Armed Forces Professions,Installation and Machine Operators and Assembly Workers,1,0,0,1,0,0,19,0,9.4,-0.8,-3.12,Graduate
single,1st phase - general contingent,1,5,daytime,Secondary education,Portuguese,Higher Education - Degree,,Specialists in Intellectual and Scientific Activities,Armed Forces Professions,1,0,0,0,0,0,19,0,10.8,1.4,1.74,Dropout
single,1st phase - general contingent,1,12,daytime,Secondary education,Portuguese,,10th Year of Schooling,Armed Forces Professions,"Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",0,0,0,1,0,0,20,0,13.9,-0.3,0.79,Graduate
